"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901381","positive regulation of potassium ion transmembrane transport","20/5644","37/18888",0.540540540540541,1.80895282241845,3.21530567150173,0.00181114250289002,0.0276037669406905,0.0225416237338143,"RNF207/AMIGO1/ATP1B1/ACTN2/RGS7/KCNIP2/KCNQ1/KCNC1/GAL/FXYD2/ANO6/KCNC2/AKAP6/MIR21/EDN3/MIR1-1/KCNMB1/AKAP9/KCNH2/OPRK1",20
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","26/5644","52/18888",0.5,1.67328136073707,3.17372526488773,0.00181243439053188,0.0276037669406905,0.0225416237338143,"PLPP3/GBF1/RAB6A/UVRAG/COPZ1/COG3/TMED10/COG7/COPZ2/ATP9B/NBAS/RAB6C/RAB6D/ERGIC3/ATP9A/RAB6B/COPB2/HTT/STX18/RAB33B/ERGIC1/BNIP1/LMAN2/RINT1/COPG2/BICD2",26
"GO:0006816","calcium ion transport","156/5644","428/18888",0.364485981308411,1.21977519754665,3.00227259447156,0.00184923140263509,0.0280968149237691,0.022944253640854,"SLC9A1/OPRD1/GJA4/CACHD1/MCOLN2/CASQ2/ANXA9/ATP1B1/CACNA1E/CACNA1S/ATP2B4/PSEN2/WNT3A/GJC2/RYR2/MCU/CAMK2G/GHITM/PLCE1/CALHM1/ADRA2A/PLPP4/F2/PACSIN3/BEST1/AHNAK/SLC3A2/TPCN2/P2RY6/TRPC6/CACNA2D4/CACNA1C/ITPR2/ANO6/TMBIM6/ASIC1/CYP27B1/ATP2B1/TRPV4/ATP2A2/SLC8B1/NOS1/PLA2G1B/P2RX7/P2RX4/MICU2/HTR2A/JPH4/PRKD1/AKAP6/LGALS3/SLC8A3/CALM1/SLC24A4/CATSPER2/TRPM7/GNB5/SLC24A1/GRAMD2A/PML/CEMIP/IL16/HOMER2/PRKCB/CORO1A/NOL3/MIR328/PKD1L2/PLCG2/ATP2C2/JPH3/CYBA/P2RX5/ATP2A3/TRPV2/CCR7/CACNA1G/VMP1/MIR21/ACE/RGS9/CACNG5/CACNG4/CACNG1/AFG3L2/CACNA1A/RYR1/GRIN2D/PRKCE/CALM2/LHCGR/PPP3R1/TMEM37/CXCR4/UBR3/SESTD1/ITGAV/GPR35/FKBP1A/PLCB1/PLCB4/PLCG1/JPH2/MIR1-1/NTSR1/TRPM2/ITPR1/CAV3/ATP2B2/EFHB/CACNA1D/CACNA2D3/MYLK/SEC61A1/PLCH1/HES1/HTT/WFS1/STIM2/PKD2/PPP3CA/MCUB/EGF/GPM6A/PDE4D/VDAC1/CATSPER3/TRPC7/CAMK2A/STC2/DRD1/EDN1/MCUR1/ITPR3/FYN/GPER1/ADCYAP1R1/GCK/CAMK2B/RAMP3/PKD1L1/SRI/EPO/ORAI2/PIK3CG/NOS3/LYN/CHD7/CRH/UBQLN1/NCS1/ABL1/GRIN1/CACNA1B/NALF2/ATP2B3",156
"GO:0140353","lipid export from cell","24/5644","47/18888",0.51063829787234,1.70888309181658,3.17641310101464,0.00186201255082319,0.0281734661236153,0.0230068480870899,"PLA2G4A/KDM5B/REN/AGT/KCNQ1/CRY2/GAL/CRY1/PTPN11/P2RX7/P2RX4/ABCC4/CYP19A1/NMB/MAP2K6/POMC/IL1A/IL1B/BMP6/EDN1/MYB/INHBA/LEP/CRH",24
"GO:0014044","Schwann cell development","22/5644","42/18888",0.523809523809524,1.75296142553407,3.18899021146337,0.00186758451236688,0.0281734661236153,0.0230068480870899,"NCMAP/MYOC/PARD3/PALS1/DICER1/AKT1/MAP2K1/MAPK3/FA2H/GRB2/ITGB4/MAP2K2/AKT2/SOS1/PPP3R1/COL6A1/DAG1/SH3TC2/POU3F2/ADGRG6/NDRG1/PLEC",22
"GO:0021983","pituitary gland development","22/5644","42/18888",0.523809523809524,1.75296142553407,3.18899021146337,0.00186758451236688,0.0281734661236153,0.0230068480870899,"WNT4/GSX1/BMP4/ALDH1A2/CDH1/NOG/INHBB/CREB1/BMP2/POU1F1/GATA2/SOX2/HES1/RBPJ/PITX2/ISL1/OTP/PITX1/POU3F2/GHRHR/LHX3/SOX3",22
"GO:0030038","contractile actin filament bundle assembly","48/5644","111/18888",0.432432432432432,1.44716225793476,3.08445851406525,0.00188679126298275,0.0283286319413793,0.0231335586729277,"ARHGEF10L/WNT4/SLC9A1/S100A10/MYOC/NRP1/PDLIM1/PPFIA1/ARAP1/ARRB1/PAK1/RAPGEF3/PXN/FERMT2/TGFB3/EVL/TPM1/SMAD3/CORO2B/BBS4/FHOD1/PPM1E/MIR21/ACTG1/ARHGEF18/DNM2/PIK3R2/RHPN2/ALMS1/TACR1/CLASP1/CUL3/NF2/ITGB5/PFN2/PAK2/LIMCH1/PHACTR1/CARMIL1/ELN/LIMK1/MET/DLC1/RHPN1/ABL1/TSC1/ARHGAP6/FRMD7",48
"GO:0043149","stress fiber assembly","48/5644","111/18888",0.432432432432432,1.44716225793476,3.08445851406525,0.00188679126298275,0.0283286319413793,0.0231335586729277,"ARHGEF10L/WNT4/SLC9A1/S100A10/MYOC/NRP1/PDLIM1/PPFIA1/ARAP1/ARRB1/PAK1/RAPGEF3/PXN/FERMT2/TGFB3/EVL/TPM1/SMAD3/CORO2B/BBS4/FHOD1/PPM1E/MIR21/ACTG1/ARHGEF18/DNM2/PIK3R2/RHPN2/ALMS1/TACR1/CLASP1/CUL3/NF2/ITGB5/PFN2/PAK2/LIMCH1/PHACTR1/CARMIL1/ELN/LIMK1/MET/DLC1/RHPN1/ABL1/TSC1/ARHGAP6/FRMD7",48
"GO:0072080","nephron tubule development","44/5644","100/18888",0.44,1.47248759744862,3.09254155407169,0.00189289964664659,0.0283320010425785,0.0231363099282806,"CTNNBIP1/WNT4/HEYL/NOTCH2/PBX1/AGT/GATA3/PAX2/AQP11/BMP4/SIX1/SIX4/SOX8/HS3ST3A1/HS3ST3B1/HOXB7/NOG/GREB1L/SMAD4/OSR1/SIX2/HOXD11/STAT1/BMP2/LAMA5/LIF/WWTR1/HES1/DLG1/PKD2/FOXD1/KLHL3/FGF1/TFAP2B/AHI1/AQP1/GLI3/SHH/EYA1/CALB1/MTSS1/MYC/AGTR2/GPC3",44
"GO:0140962","multicellular organismal-level chemical homeostasis","34/5644","73/18888",0.465753424657534,1.55867304835781,3.12199674490859,0.00189593771738244,0.0283320010425785,0.0231363099282806,"HJV/SFTPD/EXT2/PICALM/SCNN1A/AQP2/AQP6/SLC11A2/TRPV4/NEO1/IREB2/CTSH/ABCA3/SCNN1G/SCNN1B/MYO5B/FECH/CYP4F12/RCN3/EPAS1/ITGB6/CYBRD1/WFS1/KDR/LPCAT1/BMP6/RHAG/EIF2AK1/AQP1/TFR2/EXT1/CYP11B2/AQP3/PRKACG",34
